model,fp_bits,train_frac,ROC-AUC (mean),ROC-AUC (std),PRC-AUC (mean),PRC-AUC (std),Average Precision (mean),Average Precision (std),Accuracy (mean),Accuracy (std),F1 Score (mean),F1 Score (std),MCC (mean),MCC (std),Recall (mean),Recall (std),Precision (mean),Precision (std),False Positive Rate (mean),False Positive Rate (std),fit_secs (mean),fit_secs (std)
LogReg,2048,0.4,0.8811962426437302,0.0030054938263669707,0.7479796809166763,0.04004338393528579,0.7505838572635662,0.038995522981205885,0.7742316784869976,0.014763588648695968,0.5836061888067596,0.028606256024495538,0.4631404629614953,0.03740874959235929,0.47517730496453897,0.034197343124088474,0.7592957942814035,0.04614900394089495,0.07624113475177303,0.021497084491103085,0.5105405648549398,0.05762436500135109
LogReg,2048,0.6,0.8860249735928777,0.004685888253868359,0.7608546977492048,0.016566695790277183,0.7632027708020882,0.015788159574871927,0.7860520094562649,0.007381794324348003,0.6236091699666123,0.016021739949667296,0.4945825450905064,0.018886658176925662,0.5319148936170213,0.01842607242094549,0.7536587595411124,0.01114200192726677,0.08687943262411348,0.003071012070157588,1.3226844469706218,0.055934552976558805
LogReg,2048,0.8,0.8848932397766712,0.005838401123329673,0.7631153379601091,0.019388658145580155,0.7654033218613563,0.018820554594043793,0.8085106382978724,0.009382096847746752,0.6860189689911053,0.015585309134985022,0.5550648282660605,0.022126561308221042,0.6276595744680852,0.01842607242094549,0.7566538399871733,0.02008441013043432,0.10106382978723405,0.010638297872340415,2.3862905502319336,0.1731825085950143
LogReg,2048,1.0,0.882761807756149,0.008560190500457514,0.7492081738479444,0.022564489241718225,0.7515573456943428,0.02199874067906649,0.8014184397163121,0.01418439716312056,0.6742089511559769,0.0270459103299403,0.5380098511086758,0.034984497955502715,0.6170212765957447,0.03191489361702127,0.7432579847053531,0.019410021279853668,0.10638297872340426,0.00531914893617021,3.082147200902303,0.1215305247335776
LogReg,4096,0.05,0.808963331824355,0.0317501765211086,0.602195543860112,0.047475201576247295,0.6080330949535737,0.04738920306073557,0.710401891252955,0.002047341380105019,0.388763197586727,0.016979383023780714,0.27657227344189056,0.007209653410882085,0.2765957446808511,0.01842607242094553,0.6560201316298877,0.012102593133829309,0.07269503546099292,0.008125134210914611,0.06784987449645996,0.003287853893229681
LogReg,4096,0.1,0.8231948845631507,0.01796618521915713,0.6242438278402838,0.031279335303431736,0.6299748623362437,0.031051970678777806,0.7021276595744682,0.018764193695493588,0.3707475622968581,0.0696704569586835,0.24951646135906821,0.06229066467816662,0.26595744680851063,0.06471023968402362,0.6203703703703703,0.042431256434776216,0.07978723404255318,0.005319148936170212,0.20906480153401694,0.011027336219405296
LogReg,4096,0.2,0.8574769880790706,0.028180304589103606,0.681694243243963,0.03109946146248289,0.6859356828137781,0.031094628435103154,0.7565011820330968,0.01749249241956114,0.5419886689977175,0.03516597665661544,0.4152113052103747,0.04653311078261404,0.4326241134751773,0.034197343124088474,0.7272937445068592,0.04860139161585888,0.08156028368794326,0.018680237150448115,0.44016305605570477,0.023834405069563743
LogReg,4096,0.4,0.858269201750415,0.010944710576715038,0.6935234214888292,0.018809462638827074,0.6968910446237441,0.018386039333900612,0.7576832151300237,0.00409468276021015,0.5454226433302628,0.007399096658411497,0.41823359775128405,0.01050799256885172,0.43617021276595747,0.01063829787234042,0.7281972265023112,0.016814142207338987,0.08156028368794327,0.008125134210914617,1.460568904876709,0.09028208536287208
LogReg,4096,0.6,0.8664176852271014,0.01822234955410185,0.7135680361331959,0.047418083815547,0.7165100070376648,0.04647438974178258,0.7695035460992908,0.015457088452271851,0.5930380561146187,0.015212663203160946,0.4543475887046429,0.03505242619762462,0.5035460992907802,0.022145382973043935,0.7246240064047579,0.054906925657345965,0.0975177304964539,0.029295588017479262,3.9984182516733804,0.2659386601370625
LogReg,4096,0.8,0.8620227855741662,0.011106042100224195,0.6931873062266029,0.019733672061459723,0.6965164905278604,0.019647740336766712,0.7718676122931442,0.012453491433632046,0.6115540455296289,0.02270721474004621,0.46284599278670374,0.030680575060244557,0.5390070921985816,0.026772462536421095,0.7074043805165086,0.028086680243360244,0.11170212765957448,0.014073145271620164,5.781554778416951,0.6277734405675632
