fp_bits,fp_density,fp_gen_secs,train_frac,repeat,n_pos_train,n_neg_train,n_pos_test,n_neg_test,model,inner_cv_splits,inner_cv_metric,inner_cv_mean,best_params,fit_secs,pred_secs,ROC-AUC,PRC-AUC,Average Precision,Accuracy,F1 Score,MCC,Recall,Precision,TN,FP,FN,TP,False Positive Rate
1024,0.045539844781160355,2.3731164932250977,0.2,1,75,150,94,188,SVM,5,roc_auc,0.8157777777777777,"{""C"": 0.1, ""kernel"": ""linear""}",0.13109803199768066,0.0038056373596191406,0.7670325939339067,0.5572392414161401,0.5659046183627072,0.7163120567375887,0.5294117647058824,0.333423808194963,0.4787234042553192,0.5921052631578947,157,31,49,45,0.16489361702127658
1024,0.045539844781160355,2.3731164932250977,0.2,1,75,150,94,188,RandomForest,5,roc_auc,0.8913333333333334,"{""max_depth"": 10, ""n_estimators"": 200}",1.1920597553253174,0.03152608871459961,0.8974649162516977,0.7749358700091715,0.7775638344063059,0.7659574468085106,0.5352112676056338,0.44035242296398963,0.40425531914893614,0.7916666666666666,178,10,56,38,0.05319148936170213
1024,0.045539844781160355,2.3731164932250977,0.2,2,75,150,94,188,XGBoost,5,roc_auc,0.9128888888888887,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",0.8115723133087158,0.0016748905181884766,0.9014825712992305,0.7756829134939571,0.7771954358561102,0.8439716312056738,0.7731958762886598,0.655178022951199,0.7978723404255319,0.75,163,25,19,75,0.13297872340425532
1024,0.045539844781160355,2.3731164932250977,0.2,2,75,150,94,188,LogReg,5,roc_auc,0.8715555555555555,"{""C"": 0.01}",0.0814826488494873,0.0008134841918945312,0.8489701222272521,0.6828782755768978,0.6860279004062378,0.7340425531914894,0.5161290322580645,0.35931550615707303,0.425531914893617,0.6557377049180327,167,21,54,40,0.11170212765957446
1024,0.045539844781160355,2.3731164932250977,0.2,2,75,150,94,188,SVM,5,roc_auc,0.8377777777777776,"{""C"": 10, ""kernel"": ""rbf""}",0.12890887260437012,0.014089345932006836,0.7521502942507923,0.5450478836380718,0.5520321291570601,0.6950354609929078,0.5865384615384616,0.3525551202038554,0.648936170212766,0.5350877192982456,135,53,33,61,0.28191489361702127
1024,0.045539844781160355,2.3731164932250977,0.2,2,75,150,94,188,RandomForest,5,roc_auc,0.9168888888888891,"{""max_depth"": 10, ""n_estimators"": 500}",1.3767127990722656,0.0514073371887207,0.8855251244907199,0.7316223435550931,0.7355513607482195,0.7588652482269503,0.5,0.42257712736425834,0.3617021276595745,0.8095238095238095,180,8,60,34,0.0425531914893617
1024,0.045539844781160355,2.3731164932250977,0.4,0,150,300,94,188,XGBoost,5,roc_auc,0.8947222222222223,"{""learning_rate"": 0.03, ""max_depth"": 6, ""n_estimators"": 600}",1.6665568351745605,0.002730131149291992,0.908612494341331,0.765918510459967,0.7686595273848923,0.8581560283687943,0.7894736842105263,0.682625682626024,0.7978723404255319,0.78125,167,21,19,75,0.11170212765957446
1024,0.045539844781160355,2.3731164932250977,0.4,0,150,300,94,188,LogReg,5,roc_auc,0.8550555555555555,"{""C"": 0.01}",0.2562286853790283,0.0007748603820800781,0.8602874603893165,0.6818406127917395,0.685785014727941,0.7695035460992907,0.6198830409356725,0.4615051603037749,0.5638297872340425,0.6883116883116883,164,24,41,53,0.1276595744680851
1024,0.045539844781160355,2.3731164932250977,0.4,0,150,300,94,188,SVM,5,roc_auc,0.8293888888888888,"{""C"": 0.1, ""kernel"": ""rbf""}",0.8258607387542725,0.0276796817779541,0.8422928927116342,0.6362040508858775,0.6440426980430308,0.7836879432624113,0.6514285714285715,0.4987546680538164,0.6063829787234043,0.7037037037037037,164,24,37,57,0.1276595744680851
1024,0.045539844781160355,2.3731164932250977,0.4,0,150,300,94,188,RandomForest,5,roc_auc,0.8883888888888889,"{""max_depth"": 10, ""n_estimators"": 200}",1.5242063999176025,0.0323491096496582,0.8747736532367587,0.6736233157218177,0.6775170549606031,0.75177304964539,0.5569620253164557,0.40707617121898937,0.46808510638297873,0.6875,168,20,50,44,0.10638297872340426
