Strategy,Fold,Model,ROC-AUC,PRC-AUC,Accuracy,F1 Score,MCC,Recall,Precision,False Positives,False Positive Rate,ROC-AUC (balanced),PRC-AUC (balanced),Accuracy (balanced),F1 Score (balanced),MCC (balanced),Recall (balanced),Precision (balanced),False Positives (balanced),False Positive Rate (balanced)
random_balanced,3,KNN,0.7924966047985513,0.7375130105869252,0.776595744680851,0.5333333333333333,0.47660583520727917,0.3829787234042553,0.8780487804878049,5,0.026595744680851064,0.7655330466274332,0.7961483972845645,0.676595744680851,0.542204501901797,0.43661472323215744,0.3829787234042553,0.928562205930627,2.8,0.02978723404255319
random_balanced,3,XGBoost,0.7999094612947034,0.7183908424323533,0.7943262411347518,0.6233766233766234,0.5146502354656655,0.5106382978723404,0.8,12,0.06382978723404255,0.7751810774105932,0.8000972301611975,0.7095744680851064,0.6375464284634065,0.45722928049779493,0.5106382978723404,0.8489569619459804,8.6,0.09148936170212767
random_balanced,4,Logistic Regression,0.8130941602535083,0.7278995376332382,0.7730496453900709,0.6144578313253012,0.4657942525560891,0.5425531914893617,0.7083333333333334,21,0.11170212765957446,0.805653010411951,0.8014636875323694,0.6957446808510638,0.6408923363605933,0.4118343890198803,0.5425531914893618,0.7836170237515081,14.2,0.15106382978723404
random_balanced,4,SVM,0.7877716161158895,0.6847862194176898,0.7624113475177305,0.54421768707483,0.4300353220171773,0.425531914893617,0.7547169811320755,13,0.06914893617021277,0.7959314169307379,0.809849485422202,0.675531914893617,0.5675007849502444,0.40601771647222984,0.425531914893617,0.8527363071486548,7.0,0.07446808510638298
random_balanced,4,Random Forest,0.8161781349026709,0.7534981566454585,0.7978723404255319,0.6068965517241379,0.5276900958710204,0.46808510638297873,0.8627450980392157,7,0.03723404255319149,0.8117417383431418,0.8258586922981367,0.7111702127659574,0.6184671257221452,0.48357714696422444,0.46808510638297884,0.9116821348335818,4.3,0.045744680851063826
random_balanced,4,Decision Tree,0.6426833408782255,0.6038275461401028,0.75177304964539,0.5333333333333333,0.40226916412341523,0.425531914893617,0.7142857142857143,16,0.0851063829787234,0.6392145767315528,0.7139321387713681,0.6569148936170213,0.5540607472478205,0.35600610919247133,0.425531914893617,0.7971835369118423,10.5,0.11170212765957448
random_balanced,4,KNN,0.7649105930285196,0.6625665326465981,0.7411347517730497,0.45925925925925926,0.3699030362802764,0.32978723404255317,0.7560975609756098,10,0.05319148936170213,0.7605986871887732,0.7764873542974081,0.6388297872340425,0.4773728935916048,0.35391609865584767,0.3297872340425531,0.8655369702409177,4.9,0.05212765957446808
random_balanced,4,XGBoost,0.7903463105477592,0.7197857241085698,0.7801418439716312,0.6025641025641025,0.4783049862002767,0.5,0.7580645161290323,15,0.0797872340425532,0.7844612947034857,0.8028098937245932,0.701063829787234,0.6260106610056756,0.4398998155741759,0.5,0.8380395358764561,9.2,0.0978723404255319
random_balanced,5,Logistic Regression,0.7994567677682208,0.7227335750777468,0.7695035460992907,0.6242774566473989,0.46344855238027605,0.574468085106383,0.6835443037974683,25,0.13297872340425532,0.7986419194205523,0.8173128112100713,0.726063829787234,0.6772848545063541,0.47496945092509113,0.574468085106383,0.8256758748275429,11.5,0.1223404255319149
random_balanced,5,SVM,0.7983816206428248,0.738694912207574,0.7801418439716312,0.5866666666666667,0.4776946323965556,0.46808510638297873,0.7857142857142857,12,0.06382978723404255,0.7891579900407424,0.8204055130770055,0.700531914893617,0.6099587795311514,0.45354518757553264,0.46808510638297884,0.8761657359852814,6.3,0.06702127659574468
random_balanced,5,Random Forest,0.8199694431869624,0.765955373090001,0.8049645390070922,0.6308724832214765,0.5442383986098608,0.5,0.8545454545454545,8,0.0425531914893617,0.8160593028519691,0.8428263285269434,0.7265957446808511,0.6465425552995565,0.5086205506881556,0.5,0.9149638293633853,4.4,0.04680851063829787
random_balanced,5,Decision Tree,0.7259506564056135,0.656943845776059,0.7588652482269503,0.5641025641025641,0.4238145447344224,0.46808510638297873,0.7096774193548387,18,0.09574468085106383,0.7395597555454957,0.7802657040193635,0.6840425531914893,0.5971190634884201,0.40854083890551873,0.46808510638297884,0.8250425616754216,9.4,0.1
random_balanced,5,KNN,0.7821695337256678,0.7425152585150312,0.7943262411347518,0.5735294117647058,0.5282214092053229,0.4148936170212766,0.9285714285714286,3,0.015957446808510637,0.76568017202354,0.8035454629914508,0.6851063829787234,0.5685780863347,0.4403881042749239,0.4148936170212766,0.9038107312631963,4.2,0.04468085106382978
random_balanced,5,XGBoost,0.8119058397464917,0.7195410963849413,0.7801418439716312,0.6309523809523809,0.4844582996242752,0.5638297872340425,0.7162162162162162,21,0.11170212765957446,0.8095857854232685,0.8209239318413329,0.7228723404255318,0.6705396027849394,0.4704033946598168,0.5638297872340425,0.8274215991093635,11.1,0.11808510638297871
